time,instance,orders,time,averager_per_truck
2023-12-18.12:26:46,./INPUT/10.txt,537,2061657,8.95
2023-12-18.12:26:36,./INPUT/11.txt,606,2387260,8.66
2023-12-18.12:26:35,./INPUT/12.txt,655,2745738,8.19
2023-12-18.12:26:32,./INPUT/13.txt,716,3047768,7.96
2023-12-18.12:26:53,./INPUT/14.txt,877,3450305,8.77
2023-12-18.12:26:44,./INPUT/15.txt,791,3431314,7.91
2023-12-18.12:33:03,./INPUT/01.txt,50,235292,5.00
2023-12-18.12:33:03,./INPUT/02.txt,50,308927,5.00
2023-12-18.12:33:04,./INPUT/03.txt,99,487967,6.60
2023-12-18.12:33:03,./INPUT/04.txt,100,609134,5.00
2023-12-18.12:33:04,./INPUT/05.txt,166,684081,8.30
2023-12-18.12:33:04,./INPUT/06.txt,191,1024240,6.37
2023-12-18.12:33:09,./INPUT/07.txt,434,1716062,8.68
2023-12-18.12:33:06,./INPUT/08.txt,497,2653347,6.21
2023-12-18.12:38:14,./INPUT/09.txt,493,1736125,9.86
2023-12-18.12:38:10,./INPUT/10.txt,548,2089455,9.13
2023-12-18.12:38:11,./INPUT/11.txt,609,2426322,8.70
2023-12-18.12:38:06,./INPUT/12.txt,656,2741535,8.20
2023-12-18.12:38:04,./INPUT/13.txt,721,3077425,8.01
2023-12-18.12:38:12,./INPUT/14.txt,855,3460255,8.55
2023-12-18.12:38:12,./INPUT/15.txt,794,3476571,7.94
2023-12-18.12:50:27,./INPUT/01.txt,50,266310,5.00
2023-12-18.12:50:27,./INPUT/02.txt,50,293538,5.00
2023-12-18.12:50:36,./INPUT/03.txt,99,505361,6.60
2023-12-18.12:50:27,./INPUT/04.txt,100,629257,5.00
2023-12-18.12:50:44,./INPUT/05.txt,167,682223,8.35
2023-12-18.12:50:28,./INPUT/06.txt,200,1013956,6.67
2023-12-18.12:50:31,./INPUT/07.txt,441,1735673,8.82
2023-12-18.12:50:30,./INPUT/08.txt,500,2683147,6.25
2023-12-18.12:55:34,./INPUT/09.txt,487,1728284,9.74
2023-12-18.12:55:57,./INPUT/10.txt,539,2072748,8.98
2023-12-18.12:55:31,./INPUT/11.txt,607,2395653,8.67
2023-12-18.12:55:51,./INPUT/12.txt,656,2734801,8.20
2023-12-18.12:55:54,./INPUT/13.txt,721,3089974,8.01
2023-12-18.12:55:37,./INPUT/14.txt,882,3479961,8.82
2023-12-18.12:55:55,./INPUT/15.txt,800,3457265,8.00
2023-12-18.13:31:24,./INPUT/01.txt,50,162609,5.00
2023-12-18.13:31:24,./INPUT/02.txt,50,302213,5.00
2023-12-18.13:31:24,./INPUT/03.txt,93,503047,6.20
2023-12-18.13:31:24,./INPUT/04.txt,100,525611,5.00
2023-12-18.13:31:24,./INPUT/05.txt,160,671880,8.00
2023-12-18.13:31:24,./INPUT/06.txt,186,992090,6.20
2023-12-18.13:31:24,./INPUT/07.txt,422,1689736,8.44
2023-12-18.13:31:24,./INPUT/08.txt,493,2647659,6.16
2023-12-18.13:36:24,./INPUT/09.txt,508,1713828,10.16
2023-12-18.13:36:24,./INPUT/10.txt,559,2055805,9.32
2023-12-18.13:36:24,./INPUT/11.txt,622,2411197,8.89
2023-12-18.13:36:24,./INPUT/12.txt,666,2706647,8.32
2023-12-18.13:36:24,./INPUT/13.txt,730,3053447,8.11
2023-12-18.13:36:24,./INPUT/14.txt,842,3394607,8.42
2023-12-18.13:36:24,./INPUT/15.txt,785,3445059,7.85
