time,instance,orders,time,averager_per_truck
2024-04-12.16:33:25,./INPUT/05.txt,164,690343,8.20
2024-04-12.16:33:25,./INPUT/05.txt,167,681908,8.35
2024-04-12.16:33:38,./INPUT/05.txt,167,691720,8.35
2024-04-12.16:33:45,./INPUT/05.txt,160,679748,8.00
2024-04-12.16:33:34,./INPUT/05.txt,164,695919,8.20
2024-04-12.16:33:44,./INPUT/05.txt,161,689585,8.05
2024-04-12.16:33:48,./INPUT/05.txt,168,686326,8.40
2024-04-12.16:49:03,./INPUT/02.txt,50,286848,5.00
2024-04-12.16:49:08,./INPUT/02.txt,50,285328,5.00
2024-04-12.16:49:13,./INPUT/02.txt,50,286567,5.00
2024-04-12.16:49:18,./INPUT/02.txt,50,279338,5.00
2024-04-12.16:49:23,./INPUT/02.txt,50,277578,5.00
2024-04-12.16:49:28,./INPUT/02.txt,50,277036,5.00
2024-04-12.16:49:33,./INPUT/02.txt,50,286082,5.00
2024-04-12.16:49:38,./INPUT/02.txt,50,289476,5.00
2024-04-12.16:49:43,./INPUT/02.txt,50,270899,5.00
2024-04-12.16:49:48,./INPUT/02.txt,50,280531,5.00
2024-04-12.16:54:03,./INPUT/02.txt,50,287045,5.00
2024-04-12.16:54:13,./INPUT/02.txt,50,278456,5.00
2024-04-12.16:54:12,./INPUT/02.txt,50,282298,5.00
2024-04-12.16:54:21,./INPUT/02.txt,50,281837,5.00
2024-04-12.16:54:23,./INPUT/02.txt,50,277549,5.00
2024-04-12.16:54:28,./INPUT/02.txt,50,279516,5.00
2024-04-12.16:54:33,./INPUT/02.txt,50,278383,5.00
2024-04-12.16:54:39,./INPUT/02.txt,50,281763,5.00
2024-04-12.16:54:43,./INPUT/02.txt,50,285425,5.00
2024-04-12.16:54:48,./INPUT/02.txt,50,278884,5.00
